customer_id,gender,age_group,city,signup_date,order_id,order_date,restaurant_name,dish_name,category,quantity,price,payment_method,order_frequency,last_order_date,loyalty_points,churned,rating,rating_date,delivery_status
C6340,Male,Senior,Multan,2025-07-07,O10340,2023-08-26,Burger King,Sandwich,Continental,2,209.77,Cash,16,2024-11-20,453,Active,1,2024-09-04,Cancelled
C5444,Other,Teenager,Peshawar,2025-07-02,O9444,2023-08-26,Subway,Pasta,Chinese,3,1052.17,Cash,12,2025-04-21,14,Inactive,3,2025-02-08,Delayed
C1454,Female,Adult,Islamabad,2025-07-01,O5454,2023-08-26,McDonald's,Pizza,Italian,2,1030.25,Wallet,5,2025-06-26,273,Active,1,2025-02-05,Cancelled
C4748,Other,Adult,Peshawar,2024-03-10,O8748,2023-08-26,Subway,Sandwich,Italian,5,909.48,Wallet,3,2025-07-28,224,Inactive,1,2025-05-25,Cancelled
C2827,Male,Teenager,Multan,2025-03-05,O6827,2023-08-26,Pizza Hut,Sandwich,Italian,3,192.88,Wallet,26,2025-06-03,18,Active,1,2025-01-13,Cancelled
C3338,Female,Senior,Lahore,2023-12-04,O7338,2023-08-26,McDonald's,Burger,Chinese,2,1471.81,Wallet,25,2024-12-27,444,Active,3,2025-06-14,Delivered
C1614,Other,Adult,Lahore,2023-12-31,O5614,2023-08-26,Subway,Pizza,Italian,1,956.03,Card,39,2025-04-19,167,Inactive,5,2025-01-04,Delivered
C4382,Male,Senior,Multan,2025-01-20,O8382,2023-08-27,Pizza Hut,Pizza,Dessert,3,222.14,Wallet,4,2025-03-25,148,Inactive,2,2025-01-01,Delayed
C1827,Other,Adult,Lahore,2024-05-24,O5827,2023-08-27,Burger King,Pasta,Italian,2,522,Cash,12,2025-03-30,246,Inactive,3,2024-09-20,Delayed
C5009,Male,Teenager,Islamabad,2024-03-25,O9009,2023-08-27,Pizza Hut,Pizza,Italian,3,795.3,Card,15,2025-06-02,179,Inactive,4,2025-01-13,Delayed
C3152,Other,Teenager,Multan,2024-02-26,O7152,2023-08-27,Subway,Burger,Chinese,3,768.49,Wallet,40,2024-12-23,495,Inactive,5,2025-01-06,Delivered
C4729,Female,Teenager,Multan,2025-07-18,O8729,2023-08-27,KFC,Fries,Chinese,2,198.12,Card,7,2025-01-31,13,Inactive,1,2025-06-27,Cancelled
C5046,Other,Teenager,Islamabad,2024-08-15,O9046,2023-08-27,KFC,Fries,Chinese,1,196.28,Card,22,2025-08-17,378,Inactive,4,2025-03-04,Delivered
C3588,Other,Teenager,Lahore,2024-01-07,O7588,2023-08-27,Subway,Burger,Continental,1,364.91,Card,1,2025-05-06,98,Active,5,2025-08-18,Delayed
C3247,Female,Senior,Multan,2023-11-27,O7247,2023-08-27,McDonald's,Sandwich,Italian,5,275.53,Cash,7,2024-12-06,138,Active,2,2025-06-22,Delivered
C2454,Other,Teenager,Karachi,2023-12-04,O6454,2023-08-27,KFC,Pizza,Italian,1,249.9,Cash,20,2025-03-22,70,Inactive,1,2025-07-20,Delayed
C4046,Other,Adult,Karachi,2024-11-10,O8046,2023-08-27,Subway,Sandwich,Continental,4,1226.08,Cash,32,2025-02-06,372,Active,4,2025-06-18,Delivered
C6194,Female,Adult,Lahore,2023-10-09,O10194,2023-08-28,Subway,Fries,Continental,3,1120.65,Card,46,2024-12-02,453,Active,1,2025-08-19,Cancelled
C5845,Other,Senior,Multan,2024-11-07,O9845,2023-08-28,Subway,Sandwich,Fast Food,3,1056.2,Card,26,2024-10-14,116,Active,1,2025-02-16,Cancelled
C6804,Female,Adult,Peshawar,2025-01-16,O10804,2023-08-28,Burger King,Burger,Continental,3,931.02,Wallet,30,2025-07-10,211,Inactive,3,2025-03-18,Delayed
C1490,Other,Senior,Lahore,2024-12-02,O5490,2023-08-28,Pizza Hut,Pizza,Fast Food,2,1431.45,Wallet,15,2025-05-04,190,Inactive,1,2024-10-08,Cancelled
C4203,Male,Adult,Multan,2024-04-17,O8203,2023-08-28,KFC,Pizza,Italian,5,167.62,Card,13,2024-09-08,388,Active,4,2024-11-07,Delivered
C6818,Male,Adult,Islamabad,2024-10-22,O10818,2023-08-28,Subway,Pasta,Chinese,2,118.82,Card,12,2025-05-10,87,Active,1,2024-09-14,Cancelled
C2583,Female,Adult,Karachi,2024-08-10,O6583,2023-08-29,Pizza Hut,Pasta,Fast Food,1,492.46,Cash,10,2025-01-16,383,Active,1,2024-09-09,Delivered
C1891,Male,Teenager,Multan,2023-11-28,O5891,2023-08-29,Pizza Hut,Pasta,Chinese,5,1275.96,Card,28,2024-11-09,312,Inactive,2,2024-12-29,Delivered
C1972,Male,Teenager,Multan,2024-06-03,O5972,2023-08-29,McDonald's,Sandwich,Chinese,1,1462.99,Wallet,36,2025-03-26,316,Inactive,1,2024-11-30,Cancelled
C5895,Female,Adult,Karachi,2025-02-19,O9895,2023-08-29,McDonald's,Pasta,Chinese,2,1221.24,Cash,13,2025-02-12,286,Active,1,2025-03-15,Cancelled
C5179,Male,Adult,Multan,2023-09-03,O9179,2023-08-29,McDonald's,Pasta,Fast Food,1,1033.71,Card,47,2024-08-30,4,Active,2,2024-12-24,Delivered
C3147,Female,Adult,Islamabad,2024-10-30,O7147,2023-08-30,Burger King,Pizza,Continental,4,299.44,Cash,27,2025-02-06,480,Inactive,3,2024-12-01,Delivered
C3256,Other,Senior,Islamabad,2024-07-06,O7256,2023-08-30,Pizza Hut,Pasta,Dessert,3,1310.72,Wallet,41,2025-08-07,47,Active,1,2024-11-20,Cancelled
C3011,Male,Teenager,Islamabad,2025-07-19,O7011,2023-08-30,KFC,Pizza,Italian,4,343.94,Cash,20,2025-01-27,389,Active,1,2024-11-20,Cancelled
C2727,Other,Senior,Karachi,2024-11-27,O6727,2023-08-30,Subway,Pizza,Continental,1,1416.38,Wallet,27,2024-11-05,25,Inactive,1,2025-06-28,Cancelled
C5922,Other,Adult,Islamabad,2024-08-03,O9922,2023-08-30,Pizza Hut,Fries,Dessert,3,622.55,Cash,32,2024-08-26,92,Active,3,2025-05-15,Delayed
C3797,Other,Teenager,Islamabad,2024-05-08,O7797,2023-08-30,Burger King,Burger,Chinese,3,266.63,Wallet,13,2024-09-14,429,Active,1,2025-05-25,Cancelled
C5286,Other,Adult,Peshawar,2025-03-09,O9286,2023-08-30,KFC,Fries,Continental,4,1052.03,Cash,44,2025-04-16,107,Inactive,4,2025-03-12,Delivered
C3379,Other,Adult,Peshawar,2023-12-19,O7379,2023-08-30,McDonald's,Burger,Italian,3,519.94,Card,30,2024-10-08,195,Active,1,2025-02-08,Delivered
C4465,Female,Adult,Islamabad,2025-01-22,O8465,2023-08-30,Burger King,Pizza,Italian,2,1296.57,Card,16,2024-12-13,31,Inactive,1,2025-03-13,Cancelled
C4554,Other,Teenager,Lahore,2024-06-20,O8554,2023-08-31,Subway,Sandwich,Continental,5,575.25,Card,8,2025-04-15,168,Active,1,2025-05-06,Cancelled
C1842,Female,Teenager,Lahore,2025-04-27,O5842,2023-08-31,Pizza Hut,Pasta,Dessert,3,1487.08,Cash,2,2024-09-17,205,Active,5,2024-09-13,Delivered
C1557,Female,Teenager,Peshawar,2024-01-11,O5557,2023-08-31,Burger King,Pizza,Chinese,1,1071.22,Cash,5,2025-06-15,56,Inactive,5,2024-10-11,Delivered
C6668,Other,Senior,Lahore,2024-10-14,O10668,2023-08-31,Pizza Hut,Burger,Fast Food,2,181.27,Cash,12,2024-08-28,364,Inactive,1,2024-11-20,Cancelled
C6686,Female,Senior,Peshawar,2024-08-11,O10686,2023-08-31,KFC,Burger,Fast Food,1,397.47,Wallet,5,2025-04-12,180,Active,1,2025-06-10,Cancelled
C3239,Female,Senior,Lahore,2023-09-13,O7239,2023-08-31,Pizza Hut,Fries,Chinese,5,1475.86,Card,13,2025-07-13,59,Active,1,2025-02-09,Cancelled
C1207,Other,Teenager,Peshawar,2023-09-23,O5207,2023-08-31,McDonald's,Pizza,Italian,4,1143.99,Wallet,26,2024-09-26,323,Inactive,4,2025-03-24,Delivered
C6466,Other,Senior,Islamabad,2024-02-14,O10466,2023-08-31,KFC,Fries,Chinese,1,1492.84,Wallet,50,2025-03-28,423,Active,1,2025-02-09,Cancelled
C6687,Other,Adult,Islamabad,2025-06-10,O10687,2023-09-01,KFC,Pasta,Italian,3,101.29,Wallet,28,2025-01-17,468,Inactive,3,2025-02-07,Delivered
C3210,Other,Teenager,Karachi,2025-06-05,O7210,2023-09-01,Burger King,Pasta,Fast Food,2,528.24,Cash,24,2025-02-08,149,Inactive,4,2024-08-24,Delayed
C2375,Female,Teenager,Peshawar,2023-11-17,O6375,2023-09-01,McDonald's,Burger,Continental,3,716.53,Card,3,2025-02-20,432,Inactive,1,2024-09-17,Cancelled
C3484,Male,Senior,Peshawar,2025-08-02,O7484,2023-09-01,Subway,Pasta,Fast Food,3,1135.18,Cash,2,2024-10-01,113,Active,1,2024-11-29,Cancelled
C3775,Other,Adult,Multan,2024-12-29,O7775,2023-09-01,Burger King,Fries,Chinese,2,388.86,Cash,31,2024-09-01,39,Inactive,1,2024-10-05,Cancelled
C5566,Other,Teenager,Islamabad,2024-03-25,O9566,2023-09-01,Subway,Pasta,Dessert,5,362.35,Cash,23,2025-02-28,309,Active,5,2025-01-03,Delayed
C3733,Male,Adult,Multan,2024-12-18,O7733,2023-09-01,Burger King,Sandwich,Continental,4,172.76,Wallet,23,2025-05-18,356,Inactive,5,2025-01-25,Delivered
C5134,Male,Senior,Lahore,2025-05-02,O9134,2023-09-02,Burger King,Sandwich,Chinese,3,184.12,Card,41,2025-02-23,491,Inactive,1,2025-02-02,Cancelled
C4670,Other,Adult,Peshawar,2024-08-23,O8670,2023-09-02,Pizza Hut,Fries,Italian,3,124.6,Card,26,2025-05-06,297,Inactive,1,2024-11-28,Cancelled
C2760,Other,Teenager,Lahore,2025-07-26,O6760,2023-09-02,McDonald's,Pizza,Dessert,4,664.08,Cash,20,2025-04-10,354,Inactive,1,2025-04-09,Cancelled
C6071,Female,Senior,Peshawar,2024-01-23,O10071,2023-09-02,Pizza Hut,Pizza,Continental,1,1465.02,Card,45,2025-07-04,420,Active,1,2025-02-20,Delivered
C5186,Female,Adult,Peshawar,2023-10-27,O9186,2023-09-02,Subway,Pizza,Continental,2,158.21,Cash,8,2024-12-27,321,Active,3,2025-02-12,Delayed
C3464,Other,Adult,Peshawar,2024-06-11,O7464,2023-09-02,Pizza Hut,Pizza,Continental,2,949.78,Card,46,2025-04-14,435,Active,1,2025-08-14,Cancelled
C5340,Male,Teenager,Peshawar,2024-05-09,O9340,2023-09-02,McDonald's,Pasta,Continental,1,1047.07,Wallet,50,2025-01-29,328,Inactive,2,2024-09-01,Delayed
C5353,Male,Adult,Islamabad,2025-05-25,O9353,2023-09-02,KFC,Pizza,Dessert,2,1491.88,Cash,44,2025-03-12,330,Active,5,2024-09-07,Delayed
C6843,Other,Senior,Multan,2025-04-10,O10843,2023-09-02,KFC,Pizza,Italian,4,1014.28,Card,41,2025-07-22,0,Active,1,2025-01-23,Delivered
C5132,Male,Teenager,Lahore,2024-09-13,O9132,2023-09-02,Subway,Burger,Fast Food,2,941.02,Wallet,5,2025-07-18,468,Active,1,2025-02-27,Delivered
C2398,Other,Senior,Islamabad,2023-12-29,O6398,2023-09-03,Subway,Pasta,Chinese,1,1187.79,Cash,41,2025-07-05,22,Inactive,1,2024-12-13,Cancelled
C5122,Other,Senior,Multan,2025-03-30,O9122,2023-09-03,McDonald's,Pizza,Chinese,3,1201.49,Cash,37,2025-04-30,293,Active,1,2024-11-30,Delayed
C6532,Female,Senior,Islamabad,2024-03-15,O10532,2023-09-03,Pizza Hut,Pizza,Dessert,4,579.72,Wallet,40,2025-07-14,170,Inactive,3,2025-02-06,Delayed
C1833,Other,Adult,Peshawar,2025-06-06,O5833,2023-09-03,KFC,Burger,Chinese,4,599.35,Cash,3,2025-04-08,322,Inactive,1,2025-01-15,Cancelled
C2040,Male,Senior,Peshawar,2024-02-07,O6040,2023-09-03,Burger King,Pasta,Fast Food,4,1418.27,Wallet,14,2025-05-18,291,Inactive,1,2025-02-10,Cancelled
C2631,Female,Adult,Lahore,2024-11-08,O6631,2023-09-03,Subway,Pasta,Continental,2,1174.62,Card,50,2025-02-11,64,Active,1,2025-03-24,Cancelled
C3877,Other,Teenager,Islamabad,2024-10-22,O7877,2023-09-03,KFC,Fries,Continental,4,213.52,Cash,50,2025-01-22,24,Active,1,2024-12-14,Cancelled
C4158,Male,Senior,Islamabad,2024-04-27,O8158,2023-09-04,KFC,Fries,Chinese,3,566.9,Wallet,22,2025-03-27,387,Active,1,2025-02-22,Cancelled
C3705,Other,Teenager,Lahore,2024-05-15,O7705,2023-09-04,Burger King,Pasta,Italian,3,881.71,Wallet,16,2025-06-25,26,Active,1,2024-11-20,Cancelled
C5223,Other,Adult,Multan,2023-11-01,O9223,2023-09-04,Subway,Fries,Chinese,3,1142.45,Wallet,9,2024-09-08,397,Inactive,1,2025-03-20,Delayed
C4259,Male,Teenager,Islamabad,2024-12-28,O8259,2023-09-04,McDonald's,Fries,Continental,3,734.85,Card,48,2024-09-21,245,Active,4,2024-10-17,Delivered
C4636,Female,Teenager,Lahore,2024-01-27,O8636,2023-09-04,Subway,Pasta,Fast Food,4,1303.08,Wallet,19,2025-07-09,62,Active,1,2025-04-08,Delayed
C3087,Female,Adult,Peshawar,2025-05-05,O7087,2023-09-04,Subway,Pizza,Italian,2,526.39,Wallet,7,2025-06-22,83,Inactive,1,2025-04-04,Delayed
C6268,Male,Teenager,Islamabad,2024-02-11,O10268,2023-09-04,Pizza Hut,Sandwich,Fast Food,3,897.81,Cash,15,2025-08-14,193,Active,1,2025-06-19,Cancelled
C1434,Other,Senior,Multan,2024-03-16,O5434,2023-09-05,Subway,Burger,Chinese,4,949.24,Card,21,2025-06-15,264,Active,1,2024-11-21,Cancelled
C3992,Male,Teenager,Lahore,2024-07-21,O7992,2023-09-05,Subway,Fries,Italian,5,904.16,Card,10,2025-02-20,118,Inactive,4,2025-02-03,Delayed
C4725,Other,Senior,Islamabad,2023-12-10,O8725,2023-09-05,Subway,Pizza,Continental,4,321.23,Wallet,32,2025-03-17,145,Inactive,2,2025-06-06,Delivered
C3703,Other,Teenager,Multan,2024-10-30,O7703,2023-09-05,McDonald's,Fries,Fast Food,4,1071.49,Card,39,2025-06-04,1,Active,2,2025-02-15,Delayed
C1727,Male,Adult,Multan,2023-08-26,O5727,2023-09-05,Burger King,Fries,Dessert,3,465.28,Wallet,4,2025-06-06,71,Active,4,2025-06-15,Delivered
C2154,Male,Teenager,Peshawar,2024-11-13,O6154,2023-09-05,Pizza Hut,Pizza,Continental,3,141.58,Wallet,30,2024-09-05,363,Active,2,2025-04-27,Delivered
C6419,Female,Senior,Peshawar,2025-04-12,O10419,2023-09-05,Pizza Hut,Pizza,Continental,5,699.7,Cash,20,2024-09-16,183,Active,3,2025-07-24,Delivered
C6318,Male,Teenager,Islamabad,2025-01-17,O10318,2023-09-06,McDonald's,Sandwich,Continental,3,1428.01,Cash,50,2024-10-10,185,Active,1,2025-05-21,Cancelled
C5633,Other,Adult,Lahore,2025-05-20,O9633,2023-09-06,KFC,Fries,Italian,5,218.68,Wallet,26,2024-12-07,249,Active,4,2025-03-10,Delivered
C5834,Other,Adult,Multan,2023-10-06,O9834,2023-09-06,Pizza Hut,Burger,Dessert,4,395.88,Card,37,2024-11-11,113,Inactive,3,2025-04-16,Delayed
C1356,Female,Teenager,Islamabad,2024-10-13,O5356,2023-09-06,Burger King,Sandwich,Dessert,2,235.82,Wallet,28,2025-08-16,452,Inactive,1,2024-08-25,Delayed
C6282,Female,Senior,Lahore,2024-03-18,O10282,2023-09-06,KFC,Sandwich,Italian,5,626.86,Card,47,2025-03-28,117,Inactive,4,2025-03-21,Delayed
C3241,Other,Adult,Peshawar,2025-08-10,O7241,2023-09-06,McDonald's,Fries,Dessert,3,667.31,Cash,22,2024-12-29,375,Active,3,2024-09-15,Delivered
C4303,Male,Adult,Multan,2024-12-18,O8303,2023-09-06,KFC,Sandwich,Dessert,2,893.55,Cash,17,2024-10-21,497,Inactive,3,2024-11-20,Delayed
C6640,Female,Adult,Karachi,2025-01-31,O10640,2023-09-06,Subway,Pasta,Italian,1,368.03,Cash,25,2024-12-19,83,Inactive,4,2024-12-21,Delayed
C1410,Male,Teenager,Karachi,2025-04-06,O5410,2023-09-07,KFC,Fries,Fast Food,1,708.22,Cash,39,2025-01-19,441,Active,5,2024-09-12,Delayed
C2514,Male,Teenager,Multan,2024-08-10,O6514,2023-09-07,Burger King,Burger,Fast Food,3,892.81,Cash,25,2025-07-02,335,Inactive,1,2025-02-20,Cancelled
C5399,Other,Teenager,Lahore,2024-04-12,O9399,2023-09-07,Burger King,Burger,Continental,4,1043.78,Card,6,2025-04-15,114,Active,2,2025-06-05,Delayed
C5621,Other,Senior,Islamabad,2025-05-28,O9621,2023-09-07,Burger King,Fries,Italian,5,162.05,Wallet,27,2025-01-24,271,Inactive,1,2025-06-09,Cancelled
C2832,Other,Teenager,Peshawar,2024-07-03,O6832,2023-09-07,McDonald's,Pasta,Italian,4,792.08,Card,19,2024-09-21,296,Inactive,4,2024-09-13,Delivered
C6876,Female,Teenager,Islamabad,2025-02-06,O10876,2023-09-07,KFC,Pasta,Dessert,5,1356.66,Card,30,2024-11-13,470,Inactive,1,2024-11-07,Cancelled
C1577,Male,Senior,Karachi,2024-08-19,O5577,2023-09-07,KFC,Pizza,Italian,1,820.53,Card,18,2025-05-24,402,Inactive,1,2025-08-21,Delivered
C5668,Female,Adult,Multan,2025-06-27,O9668,2023-09-07,KFC,Burger,Fast Food,2,1115.36,Card,9,2024-10-20,294,Active,2,2025-04-30,Delayed
C1370,Male,Senior,Lahore,2025-04-27,O5370,2023-09-07,KFC,Pasta,Chinese,3,1186.98,Card,11,2025-04-12,134,Inactive,1,2025-07-08,Cancelled
C5722,Male,Teenager,Multan,2025-06-26,O9722,2023-09-07,Burger King,Fries,Continental,2,1215.67,Wallet,8,2025-06-29,186,Inactive,4,2024-12-27,Delivered
C6273,Male,Teenager,Peshawar,2025-05-17,O10273,2023-09-07,Burger King,Pizza,Chinese,2,614,Card,21,2025-03-05,52,Active,1,2024-11-05,Cancelled
C3949,Male,Adult,Peshawar,2024-10-18,O7949,2023-09-08,Burger King,Sandwich,Chinese,2,212.59,Cash,26,2025-06-26,302,Active,1,2024-09-20,Delivered
C1847,Male,Senior,Lahore,2024-03-01,O5847,2023-09-08,Subway,Fries,Continental,3,1097.28,Card,20,2024-09-22,22,Active,5,2024-11-30,Delayed
C6999,Female,Adult,Multan,2024-05-16,O10999,2023-09-08,Subway,Sandwich,Continental,2,1033.59,Card,1,2025-01-16,255,Active,1,2024-10-06,Delayed
C3717,Female,Senior,Islamabad,2024-07-01,O7717,2023-09-09,Burger King,Burger,Fast Food,4,466.04,Cash,27,2024-09-25,169,Inactive,1,2025-04-10,Cancelled
C6796,Other,Teenager,Lahore,2024-02-27,O10796,2023-09-09,KFC,Burger,Chinese,2,724.91,Cash,18,2024-12-04,438,Inactive,1,2025-03-23,Cancelled
C1799,Male,Adult,Multan,2025-02-22,O5799,2023-09-09,Burger King,Burger,Fast Food,3,1128.96,Card,12,2025-08-17,487,Active,1,2025-05-13,Cancelled
C3815,Male,Teenager,Karachi,2025-04-07,O7815,2023-09-09,Pizza Hut,Fries,Italian,5,122.84,Cash,43,2025-05-24,104,Active,5,2025-03-29,Delivered
C5637,Male,Senior,Lahore,2023-11-29,O9637,2023-09-09,Subway,Fries,Continental,3,440,Wallet,11,2024-12-23,497,Active,3,2025-01-13,Delivered
C2045,Male,Adult,Karachi,2024-06-22,O6045,2023-09-09,Burger King,Sandwich,Chinese,2,1207.62,Wallet,46,2025-02-22,91,Active,2,2025-03-13,Delivered
C4628,Female,Adult,Peshawar,2025-03-20,O8628,2023-09-09,McDonald's,Pizza,Continental,3,1147.65,Wallet,45,2025-04-15,353,Active,4,2024-12-12,Delivered
C4407,Other,Adult,Peshawar,2023-08-31,O8407,2023-09-09,Pizza Hut,Sandwich,Continental,5,1203.99,Wallet,1,2025-04-17,106,Inactive,4,2025-07-02,Delayed
C5061,Female,Teenager,Karachi,2024-06-30,O9061,2023-09-09,McDonald's,Burger,Chinese,2,1417.09,Card,46,2025-01-01,355,Active,1,2025-03-05,Cancelled
C4423,Male,Teenager,Karachi,2024-06-21,O8423,2023-09-09,Pizza Hut,Fries,Italian,5,1010.15,Cash,25,2025-03-08,461,Active,1,2025-07-16,Cancelled
C2522,Other,Teenager,Peshawar,2025-03-25,O6522,2023-09-10,KFC,Sandwich,Italian,4,589.82,Cash,28,2024-12-11,162,Inactive,2,2025-08-07,Delivered
C2161,Female,Senior,Karachi,2025-01-20,O6161,2023-09-10,KFC,Pizza,Fast Food,1,394.08,Card,1,2025-02-06,169,Inactive,4,2024-12-14,Delayed
C2167,Male,Senior,Multan,2025-01-30,O6167,2023-09-10,McDonald's,Sandwich,Italian,4,1460.35,Card,9,2025-04-19,315,Active,1,2025-01-25,Cancelled
C5088,Other,Senior,Lahore,2023-09-25,O9088,2023-09-10,Subway,Pasta,Fast Food,5,1397.42,Card,18,2024-08-27,36,Active,1,2025-03-11,Cancelled
C3941,Other,Adult,Lahore,2023-10-03,O7941,2023-09-10,Burger King,Sandwich,Italian,3,257.86,Wallet,47,2025-01-25,327,Inactive,1,2025-07-27,Cancelled
C2536,Female,Adult,Karachi,2023-12-26,O6536,2023-09-10,McDonald's,Burger,Fast Food,3,882.75,Wallet,16,2025-01-28,13,Active,4,2024-10-08,Delayed
C3321,Male,Teenager,Multan,2024-05-10,O7321,2023-09-10,Burger King,Pasta,Dessert,5,689.01,Card,3,2025-03-08,189,Inactive,1,2024-12-20,Cancelled
C1075,Male,Adult,Lahore,2023-09-24,O5075,2023-09-10,Subway,Pasta,Continental,2,1452.79,Cash,30,2024-10-06,382,Active,1,2025-04-12,Cancelled
